ID,value,Activity
GRAMPA0,1.404833717,4.595166283
GRAMPA1,1.806179974,4.193820026
GRAMPA2,2.729534801,3.270465199
GRAMPA3,1.035664457,4.964335543
GRAMPA4,3.255272505,2.744727495
GRAMPA5,0.716003344,5.283996656
GRAMPA6,1.806179974,4.193820026
GRAMPA7,0.740362689,5.259637311
GRAMPA8,0.511883361,5.488116639
GRAMPA9,1.22184875,4.77815125
GRAMPA10,1.397940009,4.602059991
GRAMPA11,0.91559819,5.08440181
GRAMPA12,0.793802447,5.206197553
GRAMPA13,1.763059376,4.236940624
GRAMPA14,1.739487737,4.260512263
GRAMPA15,1.204119983,4.795880017
GRAMPA16,0.301029996,5.698970004
GRAMPA17,0.780157233,5.219842767
GRAMPA18,1.698970004,4.301029996
GRAMPA19,1.397940009,4.602059991
GRAMPA20,0.495544338,5.504455662
GRAMPA21,2.0,4.0
GRAMPA22,1.0,5.0
GRAMPA23,1.397940009,4.602059991
GRAMPA24,1.477121255,4.522878745
GRAMPA25,1.477121255,4.522878745
GRAMPA27,1.597969275,4.402030725
GRAMPA28,2.301029996,3.698970004
GRAMPA29,-0.397940009,6.397940009
GRAMPA30,0.505149978,5.494850022
GRAMPA31,0.822821645,5.177178355
GRAMPA32,0.77815125,5.22184875
GRAMPA33,1.534986227,4.465013773
GRAMPA34,2.13142941,3.86857059
GRAMPA35,3.397940009,2.602059991
GRAMPA36,1.122180125,4.877819875
GRAMPA37,2.153062243,3.846937757
GRAMPA38,1.748738073,4.251261927
GRAMPA39,2.0,4.0
GRAMPA40,2.0,4.0
GRAMPA41,0.347292349,5.652707651
GRAMPA43,1.594341466,4.405658534
GRAMPA44,1.035544264,4.964455736
GRAMPA45,1.052787716,4.947212284
GRAMPA46,0.407489507,5.592510493
GRAMPA47,0.345574504,5.654425496
GRAMPA48,1.714462064,4.285537936
GRAMPA49,0.193124598,5.806875402
GRAMPA50,-0.107905397,6.107905397
GRAMPA51,0.494154594,5.505845406
GRAMPA52,0.494154594,5.505845406
GRAMPA53,-0.408935393,6.408935393
GRAMPA55,1.714691003,4.285308997
GRAMPA56,2.095828935,3.904171065
GRAMPA57,1.204119983,4.795880017
GRAMPA58,1.912751771,4.087248229
GRAMPA59,0.439332694,5.560667306
GRAMPA60,1.204119983,4.795880017
GRAMPA61,0.301029996,5.698970004
GRAMPA62,1.537819095,4.462180905
GRAMPA63,2.167916809,3.832083191
GRAMPA64,0.977446003,5.022553997
GRAMPA65,1.653212514,4.346787486
GRAMPA66,-0.226118693,6.226118693
GRAMPA67,1.096910013,4.903089987
GRAMPA68,1.254584854,4.745415146
GRAMPA69,1.579489271,4.420510729
GRAMPA70,1.196479183,4.803520817
GRAMPA71,1.602059991,4.397940009
GRAMPA72,1.641282787,4.358717213
GRAMPA73,1.347024309,4.652975691
GRAMPA74,0.799340549,5.200659451
GRAMPA75,1.176091259,4.823908741
GRAMPA76,1.505149978,4.494850022
GRAMPA78,0.273001272,5.726998728
GRAMPA79,2.176091259,3.823908741
GRAMPA80,2.176091259,3.823908741
GRAMPA81,2.176091259,3.823908741
GRAMPA82,1.77815125,4.22184875
GRAMPA83,0.903089987,5.096910013
GRAMPA84,1.698970004,4.301029996
GRAMPA85,1.698970004,4.301029996
GRAMPA87,1.146968071,4.853031929
GRAMPA88,1.73239376,4.26760624
GRAMPA89,1.704150517,4.295849483
GRAMPA90,1.451786436,4.548213564
GRAMPA91,1.029383778,4.970616222
GRAMPA92,1.550368313,4.449631687
GRAMPA93,1.168088503,4.831911497
GRAMPA94,0.477121255,5.522878745
GRAMPA95,0.574031268,5.425968732
GRAMPA96,1.653212514,4.346787486
GRAMPA97,1.434403704,4.565596296
GRAMPA98,1.213565458,4.786434542
GRAMPA99,1.041392685,4.958607315
GRAMPA100,0.230448921,5.769551079
GRAMPA101,-0.05343728,6.05343728
GRAMPA102,0.676793101,5.323206899
GRAMPA103,1.539472085,4.460527915
GRAMPA104,1.012837225,4.987162775
GRAMPA105,1.193820026,4.806179974
GRAMPA106,1.297401259,4.702598741
GRAMPA107,2.069068809,3.930931191
GRAMPA108,1.131475391,4.868524609
GRAMPA109,2.214311877,3.785688123
GRAMPA110,2.176091259,3.823908741
GRAMPA111,2.876940771,3.123059229
GRAMPA112,2.0,4.0
GRAMPA113,1.457882814,4.542117186
GRAMPA114,2.270282518,3.729717482
GRAMPA116,0.465469177,5.534530823
GRAMPA117,0.795880017,5.204119983
GRAMPA118,2.230448921,3.769551079
GRAMPA119,1.346248331,4.653751669
GRAMPA120,0.979032266,5.020967734
GRAMPA121,2.174262571,3.825737429
GRAMPA122,1.973803393,4.026196607
GRAMPA123,1.929321034,4.070678966
GRAMPA126,1.397940009,4.602059991
GRAMPA128,1.491361694,4.508638306
GRAMPA129,2.973127854,3.026872146
GRAMPA130,1.808962119,4.191037881
GRAMPA131,0.903089987,5.096910013
GRAMPA132,1.301029996,4.698970004
GRAMPA133,2.168421013,3.831578987
GRAMPA134,1.531478917,4.468521083
GRAMPA135,1.414973348,4.585026652
GRAMPA136,-0.783373731,6.783373731
GRAMPA137,2.957851505,3.042148495
GRAMPA138,2.89683429,3.10316571
GRAMPA139,2.088444507,3.911555493
GRAMPA140,2.091680987,3.908319013
GRAMPA142,3.882032364,2.117967636
GRAMPA143,1.921765897,4.078234103
GRAMPA144,1.301029996,4.698970004
GRAMPA145,1.895567254,4.104432746
GRAMPA146,1.602059991,4.397940009
GRAMPA147,2.020824783,3.979175217
GRAMPA148,2.004998987,3.995001013
GRAMPA149,1.44238053,4.55761947
GRAMPA150,1.44238053,4.55761947
GRAMPA151,1.620707597,4.379292403
GRAMPA152,1.505149978,4.494850022
GRAMPA153,2.0,4.0
GRAMPA156,1.036429266,4.963570734
GRAMPA157,2.301029996,3.698970004
GRAMPA159,0.634652341,5.365347659
GRAMPA160,0.438630248,5.561369752
GRAMPA161,1.85056361,4.14943639
GRAMPA162,0.637139113,5.362860887
GRAMPA164,1.301029996,4.698970004
GRAMPA165,2.301029996,3.698970004
GRAMPA166,2.0,4.0
